icsad_ID,hyperlink,Original_Release_Date,Last_Updated,Year,ICS-CERT_Number,ICS-CERT_Advisory_Title,Vendor,Product,Products_Affected,CVE_Number,Cumulative_CVSS,CVSS_Severity,CWE_Number,Critical_Infrastructure_Sector,Product_Distribution,Company_Headquarters
163,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-362-01,12/26/2012,4/30/2013,2012,ICSA-12-362-01,I-GEN opLYNX Central Authentication Bypass,I-GEN,opLYNX,"opLYNX, Version 2.01.8 and prior",CVE-2012-4688,7.5,High,CWE-592,Chemical; Energy; oil and gas; Water and Wastewater,Canada,Canada
162,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-349-01,12/13/2012,10/13/2021,2012,ICSA-12-349-01,Siemens Automation License Manager Uncontrolled Resource Consumption,Siemens,Automation License Manager (ALM),"All Siemens software products that include ALM version between 4.0 and 5.2 are affected. The following Siemens product families are affected: SIMATIC (e.g., STEP 7); SIMATIC HMI (e.g., WinCC, WinCC flexible); SIMATIC PCS 7; SIMOTION (e.g., Scout); SIMATIC NET; SINAMICS (e.g., Starter); SIMOCODE.",CVE-2012-4691,7.8,High,CWE-399,Energy; Healthcare and Public Health,Worldwide,Germany
161,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-348-01,12/12/2012,2/25/2015,2012,ICSA-12-348-01,Siemens ProcessSuite and Invensys Intouch Poorly Encrypted Password File,Invensys,Intouch,All versions of ProcessSuite. Please note that according to Siemens ProcessSuite was phased out in 2005 and completely discontinued in 2010. Customers using SIMATIC PCS7 / APACS+ OS are not affected.The following Invensys Wonderware InTouch versions are affected: Wonderware InTouch 2012 R2 and previous. Wonderware applications that use Windows Integrated security or ArchestrA security are not affected.,CVE-2012-4693,4.3,Medium,CWE-326,Chemical; Energy; oil and gas,Canada United States,United States
160,https://www.cisa.gov/uscert/ics/advisories/ICSA-11-314-01,12/11/2012,8/29/2013,2012,ICSA-11-314-01,Safenet Sentinel and 7-T Input Sanitization Vulnerability,SafeNet,Sentinel and 7-T,SafeNet Sentinel HASP SDK releases older than Version 5.11; Sentinel HASP Run-time installers older than Version 6.x7 Technologies (7T) IGSS Version 7,CVE-2011-3339,4.3,Medium,CWE-79,Chemical,Worldwide,United States
159,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-297-01,12/9/2012,12/23/2013,2012,ICSA-12-297-01,Tropos Wireless Mesh Routers,Tropos,Tropos Wireless Mesh Routers,All wireless mesh routers running Mesh OS versions prior to release 7.9.1.1,CVE-2012-4898,6.1,Medium,CWE-331,Emergency Services; Energy; Transportation,United States,United States
158,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-354-02,12/8/2012,8/28/2013,2012,ICSA-12-354-02,Carlo Gavazzi EOS Box Multiple Vulnerabilities,Carlo Gavazzi,EOS Box,Carlo Gavazzi device with firmware version prior to 1.0.0.1080_2.1.10 is affected: EOS-Box,CVE-2012-6428; CVE-2012-6427,8.9,High,CWE-89,Energy,Canada United States Asia Europe,Italy
157,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-335-01,11/30/2012,1/10/2020,2012,ICSA-12-335-01,Post Oak Bluetooth Traffic Systems Insufficient Entropy Vulnerability,Post Oak Traffic Systems,Bluetooth Traffic Systems,AWAM Bluetooth Reader Traffic System - all versions,CVE-2012-4687,7.6,High,CWE-331,Transportation,United States,United States
156,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-325-01,11/20/2012,1/10/2020,2012,ICSA-12-325-01,Sinapsi Devices Vulnerabilities,Sinapsi,Sinapsi Devices,Sinapsi devices with firmware prior to Version 2.0.2870_xxx_2.2.12 are affected: eSolar eSolar DUO and eSolar Light,CVE-2012-5862; CVE-2012-5861; CVE-2012-5863; CVE-2012-5864,9.3,High,CWE-259; CWE-89; CWE-78; CWE-287,Energy,Italy United States,Italy
155,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-320-01,11/14/2012,4/30/2013,2012,ICSA-12-320-01,ABB AC500 PLC Webserver CoDeSys Vulnerability,ABB,AC500 PLCS Webserver CoDeSys,ABB AC500 CPU modules with firmware Version V2.1.3 and Web server enabled are affected: 1SAP130 300 R0271 PM573-ETH; 1SAP140 300 R0271 PM583-ETH; 1SAP150 000 R0271 PM590-ETH; 1SAP150 100 R0271 PM591-ETH; 1SAP150 200 R0271 PM592-ETH; 1TNE968 900 R0110 PM554-T-ETH; 1TNE968 900 R1110 PM564-T-ETH; 1TNE968 900 R1210 PM564-R-ETH; and 1TNE968 900 R1211 PM564-R-ETH-AC,CVE-2011-5007; CVE-2011-5007,7.8,High,CWE-121,Energy,Worldwide,Switzerland
154,https://www.cisa.gov/uscert/ics/advisories/ICSA-12-271-01,11/1/2012,4/30/2013,2012,ICSA-12-271-01,C3-ilex EOScada Multiple Vulnerabilities,C3-ilex,EOScada,C3-ilex reports that the vulnerabilities affect all EOScada versions prior to 11.0.19.2,CVE-2012-1810; CVE-2012-1811; CVE-2012-1812; CVE-2012-1813,6.4,Medium,CWE-200; CWE-284; CWE-399,Energy; Water and Wastewater,Worldwide,United States
