icsad_ID,Original_Release_Date,Last_Updated,Year,ICS-CERT_Number,ICS-CERT_Advisory_Title,Vendor,Product,Products_Affected,CVE_Number,Cumulative_CVSS,CVSS_Severity,CWE_Number,Critical_Infrastructure_Sector,Product_Distribution,Company_Headquarters
2692,12/5/2023,No Updates,2023,ICSA-23-339-01,Zebra ZTC Industrial ZT400 and Desktop GK420d,Zebra Technologies,"ZTC Industrial ZT410, ZTC Desktop GK420d",The following versions of Zebra ZTC industrial and desktop printers are affected: ZTC Industrial ZT410: All versions ZTC Desktop GK420d: All versions,CVE-2023-4957,5.4,Medium,CWE-288,Critical Manufacturing,Worldwide,United States
2691,11/30/2023,No Updates,2023,ICSA-23-334-01,Delta Electronics DOPSoft,Delta Electronics,DOPSoft,The following versions of Delta Electronics products are affected: DOPSoft: All versions,CVE-2023-5944,7.8,High,CWE-121,Energy,Worldwide,Taiwan
2690,11/30/2023,No Updates,2023,ICSA-23-334-02,Yokogawa STARDOM,Yokogawa,STARDOM FCN/FCJ,"The following versions of Yokogawa STARDOM FCN/FCJ, a network control system, are affected: STARDOM FCN/FCJ: versions R1.01 through R4.31",CVE-2023-5915,5.3,Medium,CWE-400,Multiple Critical Sectors,Worldwide,Japan
2689,11/30/2023,No Updates,2023,ICSA-23-334-03,PTC KEPServerEx,PTC,"KEPServerEX, ThingWorx, OPC-Aggregator","The following PTC Kepware products, are affected: KEPServerEX: v6.14.263.0 and prior ThingWorx Kepware Server: v6.14.263.0 and prior ThingWorx Industrial Connectivity: All versions OPC-Aggregator: v6.14 and prior ThingWorx Kepware Edge: v1.7 and prior Rockwell Automation KEPServer Enterprise: Versions v6.14.263.0 and prior GE Digital Industrial Gateway Server: Versions v7.614 and prior Software Toolbox TOP Server: Versions v6.14.263.0 and prior","CVE-2023-5908, CVE-2023-5909",9.1,Critical,"CWE-122, CWE-297",Multiple Critical Sectors,Worldwide,United States
2688,11/30/2023,No Updates,2023,ICSA-23-334-04,Mitsubishi Electric FA Engineering Software Products,Mitsubishi Electric,FA Engineering Software Products,Mitsubishi Electric reports the following versions of FA Engineering Software Products are affected: GX Works3: All versions MELSOFT iQ AppPortal: All versions MELSOFT Navigator: All versions Motion Control Setting (Software packaged with GX Works3): All versions,CVE-2023-5247,7.8,High,CWE-73,Critical Manufacturing,Worldwide,Japan
2687,11/28/2023,No Updates,2023,ICSA-23-331-01,Delta Electronics InfraSuite Device Master,Delta Electronics,InfraSuite Device Master,The following Delta Electronics products are affected: InfraSuite Device Master: Versions 1.0.7 and prior,"CVE-2023-46690, CVE-2023-47207, CVE-2023-39226, CVE-2023-47279",9.8,Critical,"CWE-35, CWE-502, CWE-749",Critical Manufacturing,Worldwide,Taiwan
2686,11/28/2023,No Updates,2023,ICSA-23-331-02,Franklin Electric Fueling Systems Colibri,Franklin Electric Fueling Systems,Colibri,"The following versions of FFS Colibri, a discontinued fuel inventory monitoring system, are affected: FFS Colibri: all versions.",CVE-2023-5885,6.5,Medium,CWE-35,Energy,Worldwide,United States
2685,11/28/2023,No Updates,2023,ICSA-23-331-03,Mitsubishi Electric GX Works2,Mitsubishi Electric,GX Works2,GX Works2: all versions,"CVE-2023-5274, CVE-2023-5275",2.9,Low,CWE-20,Critical Manufacturing,Worldwide,Japan
2684,11/28/2023,No Updates,2023,ICSMA-23-331-01,BD FACSChorus,"Becton, Dickinson and Company (BD)",FACSChorus,"The following BD products are affected: BD FACSChorus (HP Z2 G9 workstation, shipped with FACSDiscover S8 Cell Sorter): v5.0 and v5.1 BD FACSChorus (HP Z2 G5 workstation, shipped with FACSMelody Cell Sorter): v3.0 and v3.1","CVE-2023-29060, CVE-2023-29061, CVE-2023-29062, CVE-2023-29063, CVE-2023-29064, CVE-2023-29065, CVE-2023-29066",5.4,Medium,"CWE-1299, CWE-306, CWE-287, CWE-798, CWE-277, CWE-266",Healthcare and Public Health,Worldwide,United States
2683,11/21/2023,No Updates,2023,ICSA-23-325-01,WAGO PFC200 Series,WAGO,PFC200 Series,"WAGO reports the following products are affected: Compact Controller CC100: Versions later than FW19, up to and including FW26 Edge Controller: Versions later than FW18, up to and including FW26 PFC100: Versions later than FW16, up to and including FW26 PFC200: Versions later than FW16, up to and including FW26 Touch Panel 600 Advanced Line: Versions later than FW16, up to and including FW26 Touch Panel 600 Marine Line: Versions later than FW16, up to and including FW26 Touch Panel 600 Standard Line: Versions later than FW16, up to and including FW26",CVE-2023-4089,2.7,Low,CWE-610,"Commercial Facilities, Critical Manufacturing, Energy, and Transportation Systems",Worldwide,Germany
