icsad_ID,Original_Release_Date,Last_Updated,Year,ICS-CERT_Number,ICS-CERT_Advisory_Title,Vendor,Product,Products_Affected,CVE_Number,Cumulative_CVSS,CVSS_Severity,CWE_Number,Critical_Infrastructure_Sector,Product_Distribution,Company_Headquarters,License
4683,4/16/2026,4/16/2026,2026,ICSA-26-106-01,Delta Electronics ASDA-Soft,Delta Electronics,Delta Electronics ASDA-Soft,Delta Electronics ASDA-Soft: <=V7.2.2.0,CVE-2026-5726,7.8,High,CWE-121,Critical Manufacturing,Worldwide,Taiwan,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
4682,4/16/2026,4/16/2026,2026,ICSA-26-106-02,"Horner Automation Cscape and XL4, XL7 PLC",Horner Automation,"Horner Automation Cscape and XL4, XL7 PLC","Horner Automation Cscape: v10.0, Horner Automation XL7 PLC: v15.60, Horner Automation XL4 PLC: v16.32.0",CVE-2026-6284,9.1,Critical,CWE-521,Critical Manufacturing,Worldwide,United States,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
4681,4/16/2026,4/16/2026,2026,ICSA-26-106-03,Anviz Multiple Products,Anviz,Anviz Multiple Products,Anviz CX7 Firmware: vers:all/*,"CVE-2026-33093, CVE-2026-35061, CVE-2026-32648, CVE-2026-40461, CVE-2026-35682, CVE-2026-35546, CVE-2026-40066, CVE-2026-32324, CVE-2026-31927, CVE-2026-33569, CVE-2026-40434, CVE-2026-32650",9.8,Critical,"CWE-23, CWE-306, CWE-319, CWE-321, CWE-494, CWE-757, CWE-77, CWE-862, CWE-940",Commercial Facilities; Critical Manufacturing; Defense Industrial Base; Energy; Financial Services; Food and Agriculture; Government Facilities; Healthcare and Public Health; Information Technology; Transportation Systems,Worldwide,United States,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
4680,4/16/2026,4/16/2026,2026,ICSA-26-106-04,AVEVA Pipeline Simulation,AVEVA,AVEVA Pipeline Simulation,AVEVA Pipeline Simulation: <=2025_SP1_build_7.1.9497.6351,CVE-2026-5387,9.1,Critical,CWE-862,Critical Manufacturing,Worldwide,United Kingdom,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
4679,4/9/2026,4/9/2026,2026,ICSA-26-099-01,Contemporary Controls BASC 20T,Contemporary Controls Sedona Alliance,Contemporary Controls BASC 20T,Contemporary Controls Sedona Alliance BASControl20: 3.1,CVE-2025-13926,9.8,Critical,CWE-807,Commercial Facilities; Critical Manufacturing; Energy,Worldwide,United States,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
4678,4/9/2026,4/9/2026,2026,ICSA-26-099-02,GPL Odorizers GPL750,GPL Odorizers,GPL Odorizers GPL750,"GPL Odorizers GPL750 (XL4): >=v1.0|<v6.0, GPL Odorizers GPL750 (XL4 Prime): >=v4.0|<v6.0, GPL Odorizers GPL750 (XL7): >=v13.0|<v20.0, GPL Odorizers GPL750 (XL7 Prime): >=v18.4|<v20.0",CVE-2026-4436,8.6,High,CWE-306,Critical Manufacturing; Chemical; Energy,Worldwide,United States,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
4676,4/7/2026,4/7/2026,2026,ICSA-26-097-01,Mitsubishi Electric GENESIS64 and ICONICS Suite products,Mitsubishi Electric,Mitsubishi Electric GENESIS64 and ICONICS Suite products,"Mitsubishi Electric GENESIS64: <=10.97.3, Mitsubishi Electric ICONICS Suite: <=10.97.3, Mitsubishi Electric MobileHMI: <=10.97.3, Mitsubishi Electric Hyper Historian: <=10.97.3, Mitsubishi Electric AnalytiX: <=10.97.3, Mitsubishi Electric MC Works 64: vers:all/*, Mitsubishi Electric GENESIS: <=11.02, Mitsubishi Electric Iconics Digital Solutions GENESIS64: <=10.97.3, Mitsubishi Electric Iconics Digital Solutions ICONICS Suite: <=10.97.3, Mitsubishi Electric Iconics Digital Solutions MobileHMI: <=10.97.3, Mitsubishi Electric Iconics Digital Solutions Hyper Historian: <=10.97.3, Mitsubishi Electric Iconics Digital Solutions AnalytiX: <=10.97.3, Mitsubishi Electric Iconics Digital Solutions GENESIS: <=11.02","CVE-2025-14815, CVE-2025-14816",8.8,High,"CWE-312, CWE-317",Critical Manufacturing,Worldwide,"United States, Japan",Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
4675,4/2/2026,4/2/2026,2026,ICSA-26-092-01,Siemens SICAM 8 Products,Siemens,Siemens SICAM 8 Products,"CPCI85 Central Processing/Communication, RTUM85Â RTU Base","CVE-2026-27663, CVE-2026-27664",7.5,High,CWE-770,Critical Manufacturing,Worldwide,Germany,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
4674,4/2/2026,4/2/2026,2026,ICSA-26-092-02,Yokogawa CENTUM VP,Yokogawa,Yokogawa CENTUM VP,"Yokogawa CENTUM VP: >=R5.01.00|<R5.04.20, Yokogawa CENTUM VP: >=R6.01.00|<R6.12.00, Yokogawa CENTUM VP: vR7.01.00",CVE-2025-7741,4,Medium,CWE-259,Critical Manufacturing; Energy; Food and Agriculture,Worldwide,Japan,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
4673,4/2/2026,4/2/2026,2026,ICSA-26-092-03,Hitachi Energy Ellipse,Hitachi Energy,Hitachi Energy Ellipse,Ellipse versions 9.0.50 and prior,CVE-2025-10492,9.8,Critical,CWE-502,Critical Manufacturing,Worldwide,Switzerland,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
4672,3/31/2026,3/31/2026,2026,ICSA-26-090-01,Anritsu Remote Spectrum Monitor,Anritsu,Anritsu Remote Spectrum Monitor,"Anritsu Remote Spectrum Monitor MS27100A: vers:all/*, Anritsu Remote Spectrum Monitor MS27101A: vers:all/*, Anritsu Remote Spectrum Monitor MS27102A: vers:all/*, Anritsu Remote Spectrum Monitor MS27103A: vers:all/*",CVE-2026-3356,9.8,Critical,CWE-306,Communications; Defense Industrial Base; Emergency Services; Transportation Systems,Worldwide,Japan,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
4671,3/31/2026,3/31/2026,2026,ICSA-26-090-02,PX4 Autopilot,PX4,PX4 Autopilot,PX4 Autopilot: v1.16.0_SITL_latest_stable,CVE-2026-1579,9.8,Critical,CWE-306,Transportation Systems; Emergency Services; Defense Industrial Base,Worldwide,Switzerland,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
4670,3/26/2026,3/26/2026,2026,ICSA-26-085-01,WAGO GmbH & Co. KG Industrial Managed Switches,WAGO,WAGO GmbH & Co. KG Industrial Managed Switches,"WAGO WAGO Firmware versions prior to V1.2.1.S0: WAGO_Hardware_852-1812, WAGO WAGO Firmware versions prior to V1.2.1.S0: WAGO_Hardware_852-1813, WAGO WAGO Firmware versions prior to V1.2.3.S0: WAGO_Hardware_852-1813/000-001, WAGO WAGO Firmware versions prior to V1.2.1.S0: WAGO_Hardware_852-1816, WAGO WAGO Firmware versions prior to V1.2.8.S0: WAGO_Hardware_852-303, WAGO WAGO Firmware versions prior to V1.2.0.S0: WAGO_Hardware_852-1305, WAGO WAGO Firmware versions prior to V1.2.0.S0: WAGO_Hardware_852-1305/000-001, WAGO WAGO Firmware versions prior to V1.2.0.S0: WAGO_Hardware_852-1505/000-001, WAGO WAGO Firmware versions prior to V1.1.9.S0: WAGO_Hardware_852-1505, WAGO WAGO Firmware versions prior to V1.0.6.S0: WAGO_Hardware_852-602, WAGO WAGO Firmware versions prior to V1.0.6.S0: WAGO_Hardware_852-603, WAGO WAGO Firmware versions prior to V1.2.5.S0: WAGO_Hardware_852-1605, WAGO WAGO Firmware versions prior to V1.2.1.S0: WAGO_Hardware_852-1812/010-000, WAGO WAGO Firmware versions prior to V1.2.1.S0: WAGO_Hardware_852-1813/010-000, WAGO WAGO Firmware versions prior to V1.2.1.S0: WAGO_Hardware_852-1816/010-000, WAGO WAGO Firmware version V1.0.6.S0: WAGO_Hardware_852-602, WAGO WAGO Firmware version V1.0.6.S0: WAGO_Hardware_852-603, WAGO WAGO Firmware version V1.1.9.S0: WAGO_Hardware_852-1505, WAGO WAGO Firmware version V1.2.0.S0: WAGO_Hardware_852-1305, WAGO WAGO Firmware version V1.2.0.S0: WAGO_Hardware_852-1305/000-001, WAGO WAGO Firmware version V1.2.0.S0: WAGO_Hardware_852-1505/000-001, WAGO WAGO Firmware version V1.2.1.S0: WAGO_Hardware_852-1812, WAGO WAGO Firmware version V1.2.1.S0: WAGO_Hardware_852-1813, WAGO WAGO Firmware version V1.2.1.S0: WAGO_Hardware_852-1816, WAGO WAGO Firmware version V1.2.1.S0: WAGO_Hardware_852-1812/010-000, WAGO WAGO Firmware version V1.2.1.S0: WAGO_Hardware_852-1813/010-000, WAGO WAGO Firmware version V1.2.1.S0: WAGO_Hardware_852-1816/010-000, WAGO WAGO Firmware version V1.2.3.S0: WAGO_Hardware_852-1813/000-001, WAGO WAGO Firmware version V1.2.5.S0: WAGO_Hardware_852-1605, WAGO WAGO Firmware version V1.2.8.S0: WAGO_Hardware_852-303, WAGO WAGO Firmware version V1.2.1.S0: WAGO_Hardware_852-1813/010-001, WAGO WAGO Firmware version V1.2.1.S1: WAGO_Hardware_852-1813/010-001",CVE-2026-3587,10,Critical,CWE-912,Commercial Facilities; Critical Manufacturing; Energy; Transportation Systems,Worldwide,Germany,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
4669,3/26/2026,3/26/2026,2026,ICSA-26-085-02,OpenCode Systems OC Messaging and USSD Gateway,OpenCode Systems,OpenCode Systems OC Messaging and USSD Gateway,"OpenCode Systems OC Messaging: 6.32.2, OpenCode Systems USSD Gateway: 6.32.2",CVE-2025-70614,8.1,High,CWE-284,Communications,Worldwide,Bulgaria,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
4668,3/26/2026,3/26/2026,2026,ICSA-26-085-03,PTC Windchill Product Lifecycle Management,PTC,PTC Windchill Product Lifecycle Management,"PTC Windchill PDMLink: 11.0_M030, PTC Windchill PDMLink: 11.1_M020, PTC Windchill PDMLink: 11.2.1.0, PTC Windchill PDMLink: 12.0.2.0, PTC Windchill PDMLink: 12.1.2.0, PTC Windchill PDMLink: 13.0.2.0, PTC Windchill PDMLink: 13.1.0.0, PTC Windchill PDMLink: 13.1.1.0, PTC Windchill PDMLink: 13.1.2.0, PTC Windchill PDMLink: 13.1.3.0, PTC FlexPLM: 11.0_M030, PTC FlexPLM: 11.1_M020, PTC FlexPLM: 11.2.1.0, PTC FlexPLM: 12.0.0.0, PTC FlexPLM: 12.0.2.0, PTC FlexPLM: 12.0.3.0, PTC FlexPLM: 12.1.2.0, PTC FlexPLM: 12.1.3.0, PTC FlexPLM: 13.0.2.0, PTC FlexPLM: 13.0.3.0",CVE-2026-4681,10,Critical,CWE-94,Critical Manufacturing,Worldwide,United States,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
4667,3/24/2026,3/24/2026,2026,ICSMA-26-083-01,Grassroots DICOM (GDCM),Grassroots,Grassroots DICOM (GDCM),Grassroots Grassroots DICOM (GDCM): 3.2.2,CVE-2026-3650,7.5,High,CWE-401,Healthcare and Public Health,Worldwide,United States,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
4666,3/24/2026,3/24/2026,2026,ICSA-26-083-01,Pharos Controls Mosaic Show Controller,Pharos Controls,Pharos Controls Mosaic Show Controller,Pharos Controls Mosaic Show Controller Firmware: 2.15.3,CVE-2026-2417,9.8,Critical,CWE-306,Commercial Facilities,Worldwide,United Kingdom,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
4665,3/24/2026,3/24/2026,2026,ICSA-26-083-02,Schneider Electric EcoStruxure Foxboro DCS,Schneider Electric,Schneider Electric EcoStruxure Foxboro DCS,EcoStruxure Foxboro DCS versions prior to CS8.1,CVE-2026-1286,6.5,Medium,CWE-502,Commercial Facilities; Critical Manufacturing; Energy,Worldwide,France,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
4664,3/24/2026,3/24/2026,2026,ICSA-26-083-03,Schneider Electric Plant iT/Brewmaxx,Schneider Electric,Schneider Electric Plant iT/Brewmaxx,Schneider Electric Plant iT/Brewmaxx: 9.60_and_above,"CVE-2025-49844, CVE-2025-46817, CVE-2025-46818, CVE-2025-46819",9.9,Critical,"CWE-190, CWE-416, CWE-94",Energy; Critical Manufacturing; Commercial Facilities,Worldwide,France,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
4663,3/19/2026,3/19/2026,2026,ICSA-26-078-01,"Schneider Electric Modicon M241, M251, and M262",Schneider Electric,"Schneider Electric Modicon M241, M251, and M262","Schneider Electric Modicon M241 versions prior to 5.4.13.12: Modicon_Controller_M241, Schneider Electric Modicon M251 versions prior to 5.4.13.12: Modicon_Controller_M251, Schneider Electric Modicon M262 versions prior to 5.4.10.12: Modicon_Controller_M262",CVE-2025-13901,5.3,Medium,CWE-404,Commercial Facilities; Critical Manufacturing; Energy,Worldwide,France,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
4662,3/19/2026,3/19/2026,2026,ICSA-26-078-02,"Schneider Electric Modicon Controllers M241, M251, M258, and LMC058",Schneider Electric,"Schneider Electric Modicon Controllers M241, M251, M258, and LMC058","Schneider Electric Modicon M241 versions prior to 5.4.13.12: Modicon_Controller_M241, Schneider Electric Modicon M251 versions prior to 5.4.13.12: Modicon_Controller_M251, Schneider Electric Modicon Controllers M258 all firmware versions: Modicon_Controllers_M258, Schneider Electric Modicon Controllers LMC058 all firmware versions: Modicon_Controllers_LMC058",CVE-2025-13902,5.4,Medium,CWE-79,Commercial Facilities; Critical Manufacturing; Energy,Worldwide,France,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
4661,3/19/2026,3/19/2026,2026,ICSA-26-078-03,Schneider Electric EcoStruxure Automation Expert,Schneider Electric,Schneider Electric EcoStruxure Automation Expert,EcoStruxureâ„¢ Automation Expert Versions prior to v25.0.1,CVE-2026-2273,8.2,High,CWE-94,Commercial Facilities; Critical Manufacturing; Energy,Worldwide,France,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
