icsad_ID,Original_Release_Date,Last_Updated,Year,ICS-CERT_Number,ICS-CERT_Advisory_Title,Vendor,Product,Products_Affected,CVE_Number,Cumulative_CVSS,CVSS_Severity,CWE_Number,Critical_Infrastructure_Sector,Product_Distribution,Company_Headquarters
4312,7/15/2025,7/15/2025,2025,ICSA-25-196-01,Hitachi Energy Asset Suite,Hitachi Energy,Energy Asset Suite,"Hitachi Energy reports that the following products are affected: Asset Suite AnyWhere for Inventory (AWI) Android mobile app: Versions 11.5 and prior (CVE-2019-9262, CVE-2019-9429, CVE-2019-9256, CVE-2019-9290) Asset Suite 9 series: Version 9.6.4.4 (CVE-2025-1484, CVE-2025-2500) Asset Suite 9 series: Version 9.7 (CVE-2025-2500).","CVE-2019-9256, CVE-2019-9262, CVE-2019-9290, CVE-2019-9429, CVE-2025-1484, CVE-2025-2500",9.1,Critical,"CWE-184, CWE-256, CWE-787, CWE-763",Energy,Worldwide,Switzerland
4311,7/15/2025,7/15/2025,2025,ICSA-25-196-02,ABB RMC-100,ABB,RMC-100,ABB reports the following versions of RMC-100 with the REST interface are affected. The vulnerabilities are only present when the REST interface is enabled. This interface is disabled by default: RMC-100: 2105457-043 through 2105457-045 RMC-100 LITE: 2106229-015 through 2106229-016.,"CVE-2025-6071, CVE-2025-6072, CVE-2025-6073, CVE-2025-6074",8.2,High,"CWE-321, CWE-121",Critical Manufacturing,"Worldwide, except regions mandated to follow EU CRA",Switzerland
4310,7/15/2025,7/15/2025,2025,ICSA-25-196-03,LITEON IC48A and IC80A EV Chargers,LITEON,IC48A and IC80A,The following versions of LITEON EV chargers are affected: LITEON IC48A: Firmware versions prior to 01.00.19r LITEON IC80A: Firmware versions prior to 01.01.12e.,CVE-2025-7357,8.7,High,CWE-256,Commercial Facilities; Energy; Transportation Systems,Worldwide,Taiwan
4309,7/10/2025,7/10/2025,2025,ICSA-25-191-01,Siemens SINEC NMS,Siemens,SINEC NMS,Siemens reports the following products are affected: Siemens SINEC NMS: All versions prior to V4.0.,"CVE-2025-40735, CVE-2025-40736, CVE-2025-40737, CVE-2025-40738",9.3,Critical,"CWE-89, CWE-306, CWE-22",Critical Manufacturing,Worldwide,Germany
4308,7/10/2025,7/10/2025,2025,ICSA-25-191-02,Siemens Solid Edge,Siemens,Solid Edge SE2025,Siemens reports the following products are affected: Solid Edge SE2025: All versions prior to V225.0 Update 5.,"CVE-2025-40739, CVE-2025-40740, CVE-2025-40741",7.3,High,"CWE-125, CWE-121",Critical Manufacturing,Worldwide,Germany
4307,7/10/2025,7/10/2025,2025,ICSA-25-191-03,Siemens TIA Administrator,Siemens,TIA Administrator,Siemens reports that the following products are affected: TIA Administrator: All versions prior to V3.0.6.,"CVE-2025-23364, CVE-2025-23365",8.5,High,"CWE-347, CWE-284",Critical Manufacturing,Worldwide,Germany
4306,7/10/2025,7/10/2025,2025,ICSA-25-191-04,Siemens SIMATIC CN 4100,Siemens,SIMATIC CN 4100,Siemens reports that the following products are affected: SIMATIC CN 4100: All versions prior to V4.0.,CVE-2025-40593,7.1,High,CWE-20,Critical Manufacturing,Worldwide,Germany
4305,7/10/2025,7/10/2025,2025,ICSA-25-191-05,Siemens TIA Project-Server and TIA Portal,Siemens,Project-Server and TIA Portal,Siemens reports that the following products are affected: TIA Project-Server: Versions prior to V2.1.1 TIA Project-Server V17: All versions Totally Integrated Automation Portal (TIA Portal) V17: All versions Totally Integrated Automation Portal (TIA Portal) V18: All versions Totally Integrated Automation Portal (TIA Portal) V19: All versions Totally Integrated Automation Portal (TIA Portal) V20: Versions prior to V20 Update 3.,CVE-2025-27127,5.3,Medium,CWE-434,Critical Manufacturing,Worldwide,Germany
4304,7/10/2025,7/10/2025,2025,ICSA-25-191-06,Siemens SIPROTEC 5,Siemens,SIPROTEC 5,Siemens reports that the following products are affected: SIPROTEC 5 6MD84 (CP300): All versions SIPROTEC 5 7SA86 (CP300): All versions SIPROTEC 5 7SA87 (CP300): All versions SIPROTEC 5 7SD82 (CP100): All versions SIPROTEC 5 7SD82 (CP150): All versions SIPROTEC 5 7SD86 (CP300): All versions SIPROTEC 5 7SD87 (CP300): All versions SIPROTEC 5 7SJ81 (CP100): All versions SIPROTEC 5 7SJ81 (CP150): All versions SIPROTEC 5 7SJ82 (CP100): All versions SIPROTEC 5 7SJ82 (CP150): All versions SIPROTEC 5 6MD85 (CP300): All versions SIPROTEC 5 7SJ85 (CP300): All versions SIPROTEC 5 7SJ86 (CP300): All versions SIPROTEC 5 7SK82 (CP100): All versions SIPROTEC 5 7SK82 (CP150): All versions SIPROTEC 5 7SK85 (CP300): All versions SIPROTEC 5 7SL82 (CP100): All versions SIPROTEC 5 7SL82 (CP150): All versions SIPROTEC 5 7SL86 (CP300): All versions SIPROTEC 5 7SL87 (CP300): All versions SIPROTEC 5 7SS85 (CP300): All versions SIPROTEC 5 6MD86 (CP300): All versions SIPROTEC 5 7ST85 (CP300): All versions SIPROTEC 5 7ST86 (CP300): All versions SIPROTEC 5 7SX82 (CP150): All versions SIPROTEC 5 7SX85 (CP300): All versions SIPROTEC 5 7SY82 (CP150): All versions SIPROTEC 5 7UM85 (CP300): All versions SIPROTEC 5 7UT82 (CP100): All versions SIPROTEC 5 7UT82 (CP150): All versions SIPROTEC 5 7UT85 (CP300): All versions SIPROTEC 5 7UT86 (CP300): All versions SIPROTEC 5 6MD89 (CP300): All versions SIPROTEC 5 7UT87 (CP300): All versions SIPROTEC 5 7VE85 (CP300): All versions SIPROTEC 5 7VK87 (CP300): All versions SIPROTEC 5 7VU85 (CP300): All versions SIPROTEC 5 Compact 7SX800 (CP050): All versions SIPROTEC 5 6MD89 (CP300) V9.6: All versions SIPROTEC 5 6MU85 (CP300): All versions SIPROTEC 5 7KE85 (CP300): All versions SIPROTEC 5 7SA82 (CP100): All versions SIPROTEC 5 7SA82 (CP150): All versions.,CVE-2025-40742,6,Medium,CWE-598,Energy; Critical Manufacturing,Worldwide,Siemens
4303,7/10/2025,7/10/2025,2025,ICSA-25-191-07,Delta Electronics DTM Soft,Delta Electronics,DTM Soft,The following Delta Electronics products are affected: DTM Soft: Versions 1.6.0.0 and prior.,CVE-2025-53415,8.4,High,CWE-502,Critical Manufacturing,Worldwide,Taiwan
