icsad_ID,Original_Release_Date,Last_Updated,Year,ICS-CERT_Number,ICS-CERT_Advisory_Title,Vendor,Product,Products_Affected,CVE_Number,Cumulative_CVSS,CVSS_Severity,CWE_Number,Critical_Infrastructure_Sector,Product_Distribution,Company_Headquarters
17,12/28/2010,9/6/2018,2010,ICSA-10-362-01,Ecava IntegraXor Directory Traversal,Ecava,IntegraXor,All IntegraXor versions prior to Version 3.6 (Build 4000.0),CVE-2010-4599; CVE-2010-4598,6,Medium,CWE-22,Multiple Critical Sectors,"Australia Canada Estonia United Kingdom Malaysia Poland
United States",Malaysia
16,12/15/2010,9/6/2018,2010,ICSA-10-316-01A,Intellicom NetBiter WebSCADA Vulnerabilities (Update A),Intellicom,NeBiter,"Intellicom NetBiter (NB100 and NB200 platforms): WebSCADA (WS100) WebSCADA (WS200)
Easy Connect (EC150) Modbus RTU – TCP Gateway (MB100) Serial Ethernet Server (SS100)",CVE-NA,NA,NA,CWE-22,Critical Manufacturing; Commercial Facilities; Communications; Energy; Government Facilities,Worldwide,United States
15,12/14/2010,4/29/2013,2010,ICSA-10-322-01,Ecava IntegraXor Buffer Overflow,Ecava,IntegraXor,All IntegraXor versions prior to v3.5 (Build 3900.10),CVE-2010-4597,10,High,CWE-119,Multiple Critical Sectors,Worldwide,Malaysia
14,11/17/2010,8/28/2013,2010,ICSA-10-322-02A,Automated Solutions OPC Vulnerability (Update),Automated Solutions,OPC,Automated Solutions Modbus/TCP Master OPC Server product (Version 3.0.0) and all previous versions,CVE-NA,NA,NA,CWE-119,Multiple Critical Sectors,Worldwide,United States
13,11/10/2010,8/23/2018,2010,ICSA-10-301-01A,MOXA Device Manager Buffer Overflow (Update A),Moxa,Device Manager,MOXA Device Manager Version 2.1,CVE-2010-4741,9.3,High,CWE-119,Energy; Critical Manufacturing; Communications; Healthcare and Public Health,China Germany Taiwan United States,Taiwan
12,11/8/2010,9/6/2018,2010,ICSA-10-313-01,RealFlex RealWin Buffer Overflow,RealFlex Technologies,RealWin,All RealWin versions up to and including Version 2.1.8 (Build 6.1.8),CVE-2010-4142,10,High,CWE-119,Chemical; Critical Manufacturing; Communications; Energy; Oil and Gas; Transportation; Maritime; Water and Wastewater ,Ireland Russia,United States
11,9/29/2010,9/6/2018,2010,ICSA-10-272-01,Primary Stuxnet Advisory,Siemens,Siemens WinCC and STEP 7 software,Siemens WinCC and STEP 7 software,CVE-2010-2772,6.9,Medium,CWE-255,Multiple Critical Sectors,Worldwide,Germany
10,9/21/2010,9/6/2018,2010,ICSA-10-264-01,SCADA Engine BACnet OPC Client Buffer Overflow Vulnerability,SCADA Engine,BACnet OPC Client,SCADA Engine Version 1.0.24 and older.,CVE-2010-4740,9.3,High,CWE-119,Commercial Facilities,Singapore Thailand Australia,Australia
9,9/15/2010,1/8/2014,2010,ICSA-10-238-01B,Stuxnet Malware Mitigation (Update B),Siemens,Siemens WinCC and STEP 7 software,Windows XP Windows Vista Windows 7 Windows Server 2008 Windows Server 2008 R2,CVE-2010-2568; CVE-2010-2772,8.1,High,CWE-20; CWE-255,Multiple Critical Sectors,Worldwide,Germany
8,8/16/2010,5/8/2013,2010,ICSA-10-228-01,Vendor Admin Accounts Warning,Vendor Admin,Vendor Admin Vulnerability,New Control System Software,CVE-NA,NA,NA,CWE-NA,Multiple Critical Sectors,Worldwide,NA
