icsad_ID,Original_Release_Date,Last_Updated,Year,ICS-CERT_Number,ICS-CERT_Advisory_Title,Vendor,Product,Products_Affected,CVE_Number,Cumulative_CVSS,CVSS_Severity,CWE_Number,Critical_Infrastructure_Sector,Product_Distribution,Company_Headquarters,License
1031,12/20/2018,12/20/2018,2018,ICSA-18-354-01,Horner Automation Cscape,Horner Automation,Cscape,The following versions of Cscape - Control System Application programming software are affected: Cscape Version 9.80.75.3 SP3 and prior.,CVE-2018-19005,6.6,Medium,CWE-20,Critical Manufacturing,Worldwide,United States,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
1030,12/20/2018,12/20/2018,2018,ICSA-18-354-02,Schneider Electric EcoStruxure,Schneider Electric,EcoStruxure,The following versions of EcoStruxure - IoT-enabled architecture and platform are affected: EcoStruxure Power Monitoring Expert (PME) Version 8.2 (all editions) | EcoStruxure Energy Expert 1.3 (formerly Power Manager) | EcoStruxure Power SCADA Operation (PSO) 8.2 Advanced Reports and Dashboards Module | EcoStruxure Power Monitoring Expert (PME) Version 9.0 | EcoStruxure Energy Expert Version 2.0 andEcoStruxure Power SCADA Operation (PSO) 9.0 Advanced Reports and Dashboards Module.,CVE-2018-7797,7.4,High,CWE-601,Commercial Facilities; Energy; Food and Agriculture; Government Facilities; Transportation Systems; Water and Wastewater,Worldwide,France,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
1029,11/27/2018,11/27/2018,2018,ICSA-18-331-02,Rockwell Automation FactoryTalk Services Platform,Rockwell Automation,FactoryTalk Services Platform,The following versions of FactoryTalk Services Platform - services-oriented architecture platform are affected: FactoryTalk Services Platform | v2.90 and earlier.,CVE-2018-18981,7.5,High,CWE-122,Food and Agriculture; Transportation Systems; Water and Wastewater,Worldwide,United States,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
1028,12/18/2018,12/18/2018,2018,ICSA-18-352-01,ABB GATE-E2,ABB,GATE-E2,The following versions of the Gateway Ethernet devices used in Pluto Safety PLC systems are affected: GATE-E1 (EOL 2013) andGATE-E2 (EOL OCT 2018).,"CVE-2018-18995, CVE-2018-18997",9.8,Critical,"CWE-79, CWE-306",Critical Manufacturing,Worldwide,Switzerland,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
1027,12/18/2018,12/18/2018,2018,ICSA-18-352-02,Advantech WebAccess/SCADA,Advantech,WebAccess/SCADA,The following versions of WebAccess/SCADA - SCADA software platform are affected: WebAccess/SCADA Version 8.,CVE-2018-18999,7.3,High,CWE-20,Critical Manufacturing; Energy; Water and Wastewater,"Taiwan, United States, Asia, East Asia, Europe",Taiwan,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
1026,12/18/2018,12/18/2018,2018,ICSA-18-352-03,3S-Smart Software Solutions GmbH CODESYS Control V3 Products,3S-Smart Software Solutions GmbH,CODESYS Control V3 Products,3S-Smart Software Solutions GmbH reports the vulnerability affects all variants of CODESYS Control V3 products containing the CmpSecureChannel or CmpUserMgr components prior to Version 3.5.14.0 of the following products - regardless of the CPU type or operating system: Control for BeagleBone | CODESYS Control for BeagleBone | CODESYS Control for emPC-A/iMX6 | CODESYS Control for IOT2000 | CODESYS Control for Linux | CODESYS Control for PFC100 | CODESYS Control for PFC200 | CODESYS Control for Raspberry Pi | CODESYS Control RTE V3 | CODESYS Control RTE V3 (for Beckhoff CX) | CODESYS Control Win V3 (also part of the CODESYS setup) | CODESYS V3 Simulation Runtime (part of the CODESYS Development System) | CODESYS Control V3 Runtime System Toolkit and CODESYS HMI V3.,CVE-2018-10612,9.8,Critical,CWE-284,Critical Manufacturing; Energy,Worldwide,Germany,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
1025,12/18/2018,12/18/2018,2018,ICSA-18-352-04,3S-Smart Software Solutions GmbH CODESYS V3 Products,3S-Smart Software Solutions GmbH,CODESYS V3 Products,3S-Smart Software Solutions GmbH reports these vulnerabilities affect the following CODESYS V3 products: CODESYS Control for BeagleBone | CODESYS Control for emPC-A/iMX6 | CODESYS Control for IOT2000 | CODESYS Control for Linux | CODESYS Control for PFC100 | CODESYS Control for PFC200 | CODESYS Control for Raspberry Pi | CODESYS Control RTE V3 | CODESYS Control RTE V3 (for Beckhoff CX) | CODESYS Control Win V3 (also part of the CODESYS Development System setup) | CODESYS Control V3 Runtime System Toolkit | CODESYS V3 Embedded Target Visu Toolkit | CODESYS V3 Remote Target Visu Toolkit | CODESYS V3 Safety SIL2 | CODESYS Gateway V3 | CODESYS HMI V3 | CODESYS OPC Server V3 | CODESYS PLC Handler SDK | CODESYS V3 Development System andCODESYS V3 Simulation Runtime (part of the CODESYS Development System).,"CVE-2018-20025, CVE-2018-20026",9.4,Critical,"CWE-923, CWE-330",Critical Manufacturing,Worldwide,Germany,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
1024,12/18/2018,9/25/2020,2018,ICSA-18-352-05,Siemens TIM 1531 IRC Modules,Siemens,TIM 1531 IRC Modules,The following versions of TIM 1531 IRC - communication module for SIMATIC S7-1500 | S7-400 and S7-300 with SINAUT ST7 are affected: TIM 1531 IRC all versions prior to 2.0.,CVE-2018-13816,10,Critical,CWE-306,Chemical; Critical Manufacturing; Energy; Food and Agriculture; Water and Wastewater,Worldwide,Germany,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
1023,12/18/2018,12/18/2018,2018,ICSA-18-352-06,ABB CMS-770,ABB,CMS-770,The following versions of CMS-770 from ABB and Busch-Jaeger brands are affected: CMS-770: Software Versions 1.7.1 and prior.,CVE-2018-17928,8.8,High,CWE-287,Multiple Critical Sectors,Worldwide,Switzerland,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
1022,12/18/2018,12/18/2018,2018,ICSA-18-352-07,ABB M2M ETHERNET,ABB,M2M ETHERNET,The following versions of M2M ETHERNET - network analyzer are affected: M2M ETHERNET: FW Versions 2.22 and prior | ETH-FW Versions 1.01 and prior.,CVE-2018-17926,6.3,Medium,CWE-287,Multiple Critical Sectors,Worldwide,Switzerland,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
