icsad_ID,Original_Release_Date,Last_Updated,Year,ICS-CERT_Number,ICS-CERT_Advisory_Title,Vendor,Product,Products_Affected,CVE_Number,Cumulative_CVSS,CVSS_Severity,CWE_Number,Critical_Infrastructure_Sector,Product_Distribution,Company_Headquarters
2084,6/9/2022,No Updates,2022,ICSA-22-160-01,Mitsubishi Electric Air Conditioning Systems,Mitsubishi Electric,Air Conditioning Systems,"The firmware on the following Mitsubishi Electric products is affected:
G-150AD: Versions 3.21 and prior
AG-150A-A: Versions 3.21 and prior
AG-150A-J: Versions 3.21 and prior
GB-50AD: Versions 3.21 and prior
GB-50ADA-A: Versions 3.21 and prior
GB-50ADA-J: Versions 3.21 and prior
EB-50GU-A: Versions. 7.10 and prior
EB-50GU-J: Versions 7.10 and prior
AE-200J: Versions 7.97 and prior
AE-200A: Versions 7.97 and prior
AE-200E: Versions 7.97 and prior
AE-50J: Versions 7.97 and prior
AE-50A: Versions 7.97 and prior
AE-50E: Versions 7.97 and prior
EW-50J: Versions 7.97 and prior
EW-50A: Versions 7.97 and prior
EW-50E: Versions 7.97 and prior
TE-200A: Versions 7.97 and prior
TE-50A: Versions 7.97 and prior
TW-50A: Versions 7.97 and prior.","CVE-2022-24296
CVE-2016-2183
CVE-2013-2566
CVE-2015-2808
CVE-2009-3555",7.5,High,"CWE-327
CWE-200
CWE-300",Commercial Facilities,Worldwide,Japan
2083,6/3/2022,No Updates,2022,ICSA-22-154-01,Vulnerabilities Affecting Dominion Voting Systems ImageCast X,Dominion Voting Systems,Democracy Suite ImageCast X,"The following versions of the Dominion Voting Systems ImageCast X software are known to be affected (other versions were not able to be tested):
ImageCast X firmware based on Android 5.1, as used in Dominion Democracy Suite Voting System Version 5.5-A
ImageCast X application Versions 5.5.10.30 and 5.5.10.32, as used in Dominion Democracy Suite Voting System Version 5.5-A
NOTE: After following the vendor’s procedure to upgrade the ImageCast X from Version 5.5.10.30 to 5.5.10.32, or after performing other Android administrative actions, the ImageCast X may be left in a configuration that could allow an attacker who can attach an external input device to escalate privileges and/or install malicious code. Instructions to check for and mitigate this condition are available from Dominion Voting Systems.
Any jurisdictions running ImageCast X are encouraged to contact Dominion Voting Systems to understand the vulnerability status of their specific implementation. ","CVE-2022-1739
CVE-2022-1740
CVE-2022-1741
CVE-2022-1742
CVE-2022-1743
CVE-2022-1744
CVE-2022-1745
CVE-2022-1746
CVE-2022-1747",Not Assigned,Not Assigned,"CWE-347
CWE-1283
CWE-912
CWE-424
CWE-24
CWE-250
CWE-290
CWE-266
CWE-346",Government Facilities/Election Infrastructure,Multiple Countries,United States
2082,6/2/2022,No Updates,2022,ICSA-22-153-01,Carrier LenelS2 HID Mercury access panels,Carrier LenelS2,HID Mercury access panels sold by LenelS2,"Carrier reports these vulnerabilities affect the following HID Mercury access panels sold by LenelS2: 
LNL-X2210
LNL-X2220
LNL-X3300
LNL-X4420
LNL-4420
S2-LP-1501
S2-LP-4502
S2-LP-2500
S2-LP-1502.","CVE-2022-31479
CVE-2022-31480
CVE-2022-31481
CVE-2022-31483
CVE-2022-31482
CVE-2022-31484
CVE-2022-31485
CVE-2022-31486",10,Critical,"CWE-693
CWE-425
CWE-120
CWE-22
CWE-425
CWE-78",Commercial Facilities,United States,United States
2081,6/2/2022,No Updates,2022,ICSA-22-153-02,Illumina Local Run Manager,Illumina,Local Run Manager (LRM),"The following devices and instruments using LRM software are affected:
Illumina In Vitro Diagnostic (IVD) devices:
NextSeq 550Dx: LRM Versions 1.3 to 3.1
MiSeq Dx: LRM Versions 1.3 to 3.1
Researcher Use Only (ROU) instruments:
NextSeq 500 Instrument: LRM Versions 1.3 to 3.1
NextSeq 550 Instrument: LRM Versions 1.3 to 3.1
MiSeq Instrument: LRM Versions 1.3 to 3.1
iSeq 100 Instrument: LRM Versions 1.3 to 3.1
MiniSeq Instrument: LRM Versions 1.3 to 3.1.","CVE-2022-1517
CVE-2022-1518
CVE-2022-1519
CVE-2022-1521
CVE-2022-1524 ",10,Critical,"CWE-250
CWE-22
CWE-434
CWE-284
CWE-319",Healthcare and Public Health,Worldwide,United States
2080,5/31/2022,No Updates,2022,ICSMA-22-151-01,BD Pyxis,"Becton, Dickinson and Company (BD)",Pyxis,"The following BD Pyxis products, an automated medication dispensing system, are affected:
BD Pyxis ES Anesthesia Station
BD Pyxis CIISafe
BD Pyxis Logistics
BD Pyxis MedBank
BD Pyxis MedStation 4000
BD Pyxis MedStation ES
BD Pyxis MedStation ES Server
BD Pyxis ParAssist
BD Pyxis Rapid Rx
BD Pyxis StockStation
BD Pyxis SupplyCenter
BD Pyxis SupplyRoller
BD Pyxis SupplyStation
BD Pyxis SupplyStation EC
BD Pyxis SupplyStation RF auxiliary
BD Rowa Pouch Packaging Systems.",CVE-2022-22767,8.8,High,CWE-262,Healthcare and Public Health,Worldwide,United States
2079,5/31/2022,No Updates,2022,ICSMA-22-151-02,BD Synapsys,"Becton, Dickinson and Company (BD)",Synapsys,"The following versions of BD Synapsys, a microbiology informatics software platform, are affected: BD Synapsys: Versions 4.20, 4.20 SR1 and 4.30.",CVE-2022-30277,5.7,Medium,CWE-613,Healthcare and Public Health,Worldwide,United States
2078,5/31/2022,No Updates,2022,ICSA-22-151-01,Fuji Electric Alpha7 PC Loader,Fuji Electric,Alpha7 PC Loader,"The following versions of Alpha7 PC Loader, a servo drive system, are affected: Alpha7 PC Loader: All versions.",CVE-2022-1888,7.8,High,CWE-121,Critical Manufacturing,Worldwide,Japan
2077,5/26/2022,No Updates,2022,ICSA-22-146-02,Horner Automation Cscape Csfont,Horner Automation,Cscape Csfont,The following versions of Horner Automation Cscape PLC management software are affected: Horner Automation Cscape Csfont: Versions 9.90 SP5 (v9.90.196) and prior.,"CVE-2022-27184
 CVE-2022-28690
 CVE-2022-29488
 CVE-2022-30540",7.8,High,"CWE-787
 CWE-125
 CWE-122",Critical Manufacturing,Worldwide,United States
2077,5/26/2022,No Updates,2022,ICSA-22-146-02,Horner Automation Cscape Csfont,Horner Automation,Cscape Csfont,The following versions of Horner Automation Cscape PLC management software are affected: Horner Automation Cscape Csfont: Versions 9.90 SP5 (v9.90.196) and prior.,"CVE-2022-27184
 CVE-2022-28690
 CVE-2022-29488
 CVE-2022-30540",7.8,High,"CWE-787
 CWE-125
 CWE-122",Critical Manufacturing,Worldwide,United States
2076,5/26/2022,No Updates,2022,ICSA-22-146-01,Keysight N6854A Geolocation server and N6841A RF Sensor software,"Keysight Technologies, Inc.",N6854A Geolocation server and N6841A RF Sensor software,"The following version of Keysight N6854A Geolocation and server and N6841A Sensor software, a spectrum monitoring platform, are affected: Keysight N6854A and N6841A RF: Version 2.4.0 or later.","CVE-2022-1661
 CVE-2022-1660",9.8,Critical,"CWE-23
 CWE-502",Critical Manufacturing; Transportation Systems,Worldwide,United States
