icsad_ID,Original_Release_Date,Last_Updated,Year,ICS-CERT_Number,ICS-CERT_Advisory_Title,Vendor,Product,Products_Affected,CVE_Number,Cumulative_CVSS,CVSS_Severity,CWE_Number,Critical_Infrastructure_Sector,Product_Distribution,Company_Headquarters
622,12/22/2016,No Updates,2016,ICSA-16-357-01,Fidelix FX-20 Series Controllers Path Traversal Vulnerability,Fidelix,FX-20 Series Controllers,FX-20 series controllers: FX-20 series controllers | versions prior to 11.50.19.,CVE-2016-9364,7.5,High,CWE-22,Commercial Facilities,Finland Europe,Finland
621,12/22/2016,No Updates,2016,ICSA-16-357-02,WAGO Ethernet Web-based Management Authentication Bypass Vulnerability,WAGO,Ethernet Web-based Management,WAGO 750-8202/PFC200 prior to FW04 (released August 2015) |WAGO 750-881 prior to FW09 (released August 2016) | WAGO 0758-0874-0000-0111.,CVE-2016-9362,9.1,Critical,CWE-592,Commercial Facilities; Critical Manufacturing; Energy; Transportation,China Germany India Poland Switzerland,Germany
620,12/20/2016,No Updates,2016,ICSA-16-355-01,Siemens Desigo PX Web Module Insufficient Entropy Vulnerability,Siemens,Desigo PX Web Module,Desigo PX Web modules and versions: Desigo PX Web modules PXA40-W0 | PXA40-W1 | PXA40-W2 for Desigo PX automation controllers PXC00-E.D | PXC50-E.D | PXC100-E.D | PXC200-E.D:  All firmware versions prior to V6.00.046 | Desigo PX Web modules PXA30-W0 | PXA30-W1 | PXA30-W2 for Desigo PX automation controllers PXC00-U | PXC64-U | PXC128-U:  All firmware versions prior to V6.00.046.,CVE-2016-9154,5.9,Medium,CWE-332,Commercial Facilities,Worldwide,Germany
619,12/15/2016,4/8/2021,2016,ICSA-16-350-01,FATEK Automation PLC WinProladder Stack-Based Buffer Overflow Vulnerability,Fatek,Automation PLC WinProladder,PLC WinProladder version affected:  PLC WinProladder Version 3.11 Build 14701.,CVE-2016-8377,8,High,CWE-121,Commercial Facilities; Critical Manufacturing,Taiwan Asia Europe,Taiwan
618,12/15/2016,No Updates,2016,ICSA-16-350-02,OmniMetrix OmniView Vulnerabilities,OmniMetrix,OmniView ,OmniView versions:  Version 1.2,CVE-2016-5786; CVE-2016-5801,7.5,High,CWE-319; CWE-521,Commercial Facilities; Energy,Georgia United States South America Asia Europe,United States
617,12/13/2016,No Updates,2016,ICSA-16-348-01,Visonic PowerLink2 Vulnerabilities,Visonic,PowerLink2 ,PowerLink2 versions affected:  All versions prior to October 2016 firmware release.,CVE-2016-5811; CVE-2016-5813,5.7,Medium,CWE-200; CWE-79,Commercial Facilities,Australia China Germany Denmark Spain United Kingdom Israel Poland Singapore United States Asia Europe,Israel
616,12/13/2016,No Updates,2016,ICSA-16-348-02,Moxa DACenter Vulnerabilities,Moxa,DACenter ,DACenter: Versions 1.4 and older.,CVE-2016-9354; CVE-2016-9356,7.2,High,CWE-400; CWE-428,Commercial Facilities; Critical Manufacturing; Energy; Water and Wastewater,Brazil China Germany France United Kingdom India Russia Taiwan United States Asia Europe,Taiwan
615,12/13/2016,No Updates,2016,ICSA-16-348-03,"Delta Electronics WPLSoft, ISPSoft, and PMSoft Vulnerabilities",Delta Electronics,"WPLSoft, ISPSoft, and PMSoft ",Delta Electronics products and versions affected: WPLSoft | Versions prior to V2.42.11 |ISPSoft | Versions prior to 3.02.11 | PMSoft | Versions prior to 2.10.10.,CVE-2016-5805; CVE-2016-5802,7.8,High,CWE-122; CWE-787,Critical Manufacturing,Brazil China India Japan South Korea Korea Singapore Taiwan Europe,Taiwan
614,12/13/2016,No Updates,2016,ICSA-16-348-04,Siemens SIMATIC WinCC and SIMATIC PCS 7 ActiveX Vulnerability,Siemens,SIMATIC WinCC and SIMATIC PCS 7,Siemens versions of SIMATIC: SIMATIC WinCC:  All versions prior to SIMATIC WinCC V7.2 | SIMATIC PCS 7:  All versions prior to SIMATIC PCS 7 V8.0 SP1.,CVE-2016-9160,4.2,Medium,CWE-119,Chemical; Energy; Food and Agriculture; Water and Wastewater,Worldwide,Germany
613,12/8/2016,No Updates,2016,ICSA-16-343-01,Moxa MiiNePort Session Hijack Vulnerabilities,Moxa,MiiNePort,Moxa affected versions of MiiNePort: MiiNePort E1 versions prior to 1.8 |MiiNePort E2 versions prior to 1.4 | MiiNePort E3 versions prior to 1.1.,CVE-2016-9344; CVE-2016-9346,5.3,Medium,CWE-312; CWE-264,Commercial Facilities; Critical Manufacturing; Energy; Transportation,Brazil China Germany France United Kingdom India Russia Taiwan United States Asia Europe,Taiwan
612,12/8/2016,No Updates,2016,ICSA-16-343-02,Sauter NovaWeb Web HMI Authentication Bypass Vulnerability,Sauter,NovaWeb Web HMI,NovaWeb versions affected: NovaWeb web HMI | all versions.,CVE-2016-5782,7.2,High,CWE-784,Commercial Facilities; Critical Manufacturing,Germany Switzerland Europe,Germany
611,12/8/2016,No Updates,2016,ICSA-16-343-03,Adcon Telemetry A850 Telemetry Gateway Base Station Vulnerabilities,Adcon Telemetry,A850 Telemetry Gateway Base Station ,A850 Telemetry Gateway Base Station versions affected: A850 Telemetry Gateway Base Station | all versions.,CVE-2016-2274,9.8,Critical,CWE-79,Commercial Facilities; Critical Manufacturing; Water and Wastewater,Austria Germany United States Europe,Austria
610,12/8/2016,No Updates,2016,ICSA-16-343-04,INTERSCHALT VDR G4e Path Traversal Vulnerability,INTERSCHALT,VDR G4e,INTERSCHALT versions of VDR G4e: Versions 5.220 and prior.,CVE-2016-9339,5.3,Medium,CWE-22,Transportation,China Germany United States Asia Europe,Germany
609,12/6/2016,No Updates,2016,ICSA-16-341-01,Tesla Gateway ECU Vulnerability,Tesla,Gateway ECU ,Vehicle firmware build versions affected: All firmware versions before version 7.1 (2.36.31) with web browser functionality enabled.,CVE-2016-9337,6.8,Medium,CWE-77,Transportation,Japan Netherlands United States Asia Europe,United States
608,12/6/2016,No Updates,2016,ICSA-16-231-01,Locus Energy LGate Command Injection Vulnerability,Navis,WebAccess,WebAccess versions affected: Navis WebAccess | all versions released prior to August 10 | 2016.,CVE-2016-5817,7.3,High,CWE-89,Transportation,Worldwide,United States
607,12/1/2016,6/15/2017,2016,ICSA-16-336-01A,Siemens SICAM PAS Vulnerabilities (Update A),Siemens,SICAM PAS  ,SICAM PAS versions affected: SICAM PAS: All versions prior to 8.09.,CVE-2016-8567; CVE-2016-8566; CVE-2016-9156; CVE-2016-9157,8.9,High,CWE-552; CWE-257; CWE-798; CWE-633,Energy,Worldwide,Germany
606,12/1/2016,3/21/2017,2016,ICSA-16-336-02A,Moxa NPort Device Vulnerabilities (Update A),Moxa,NPort Device  ,Moxa versions of NPort affected: NPort 5110 versions prior to 2.7 | NPort 5130/5150 Series versions prior to 3.7 | NPort 5200 Series versions prior to 2.9 | NPort 5400 Series versions prior to 3.12 | NPort 5600 Series versions prior to 3.8 | NPort 5100A Series & NPort P5150A versions prior to 1.4 | NPort 5200A Series versions prior to 1.4 | NPort 5150AI-M12 Series versions prior to 1.3 | NPort 5250AI-M12 Series versions prior to 1.3 | NPort 5450AI-M12 Series versions prior to 1.3 | NPort 5600-8-DT Series versions prior to 2.5 | NPort 5600-8-DTL Series versions prior to 2.5 | NPort IA5450A versions prior to v1.4 | NPort 6000 series versions prior to 1.16 | NPort 6110 series all versions.,CVE-2016-9361; CVE-2016-9369; CVE-2016-9363; CVE-2016-9371; CVE-2016-9365; CVE-2016-9366; CVE-2016-9348; CVE-2016-9367,7.8,High,CWE-255; CWE-264; CWE-120; CWE-79; CWE-352; CWE-307; CWE-256; CWE-400,Critical Manufacturing; Energy; Transportation,Brazil China Germany France United Kingdom India Russia Taiwan United States,Taiwan
605,12/1/2016,No Updates,2016,ICSA-16-336-03,Mitsubishi Electric MELSEC-Q Series Ethernet Interface Module Vulnerabilities,Mitsubishi Electric,MELSEC-Q Series Ethernet Interface Module ,MELSEC-Q series versions affected: QJ71E71-100 | all versions |QJ71E71-B5 | all versions | QJ71E71-B2 | all versions.,CVE-2016-8370; CVE-2016-8368,8.6,High,CWE-412; CWE-327,Commercial Facilities; Critical Manufacturing; Food and Agriculture,Worldwide,Japan
604,12/1/2016,No Updates,2016,ICSA-16-336-04,Advantech SUSIAccess Server Vulnerabilities,Advantech,SUSIAccess Server ,SUSIAccess Server versions affected: SUISAccess Server Version 3.0 and prior.,CVE-2016-9349; CVE-2016-9351; CVE-2016-9353,8,High,CWE-200; CWE-22; CWE-264,Commercial Facilities; Critical Manufacturing; Energy; Government Facilities,Worldwide,Taiwan
603,12/1/2016,9/7/2017,2016,ICSMA-16-306-01,Smiths Medical CADD-Solis Medication Safety Software Vulnerabilities,Smiths Medical,CADD-Solis Medication Safety Software ,CADD-Solis Medication Safety Software versions affected: Smiths Medical CADD-Solis Medication Safety Software | Version 1.0; Smiths Medical CADD-Solis Medication Safety Software | Version 2.0; Smiths Medical CADD-Solis Medication Safety Software | Version 3.0;  and Smiths Medical CADD-Solis Medication Safety Software | Version 3.1.,CVE-2016-8355; CVE-2016-8358,9.2,Critical,CWE-300; CWE-732,Healthcare and Public Health,Worldwide,United States
602,11/29/2016,11/30/2016,2016,ICSA-16-334-01,Emerson Liebert SiteScan XML External Entity Vulnerability,Emerson,Liebert SiteScan XML External Entity ,Liebert SiteScan versions affected: SiteScan Web Version 6.5 | prior.,CVE-2016-8348,7.5,High,CWE-611,Commercial Facilities; Critical Manufacturing; Energy; Water and Wastewater,Worldwide,United States
601,11/29/2016,No Updates,2016,ICSA-16-334-02,Emerson DeltaV Easy Security Management Application Vulnerability,Emerson,DeltaV Easy Security Management Application ,Emerson DeltaV Easy Security Management application which is present on the following systems: DeltaV V12.3 |DeltaV V12.3.1 | DeltaV V13.3.,CVE-2016-9345,6.8,Medium,CWE-269,Chemical; Energy,Worldwide,United States
600,11/29/2016,11/30/2016,2016,ICSA-16-334-03,Emerson DeltaV Wireless I/O Card Open SSH Port Vulnerability,Emerson,DeltaV Wireless I/O Card Open SSH Port ,Emerson products affected: SE4801T0X Redundant Wireless I/O Card V13.3 | SE4801T1X Simplex Wireless I/O Card V13.3Note:  The DeltaV system is not susceptible to this vulnerability except for the products and versions listed above.,CVE-2016-9347,5,Medium,CWE-306,Chemical; Energy,Worldwide,United States
599,11/22/2016,No Updates,2016,ICSA-16-327-01,Siemens SIMATIC CP 1543-1 Vulnerabilities,Siemens,SIMATIC CP 1543-1 ,SIMATIC CP 1543-1: SIMATIC CP 1543-1:  All versions prior to V2.0.28.,CVE-2016-8561; CVE-2016-8562,6,Medium,CWE-20; CWE-269,Chemical; Energy; Food and Agriculture; Water and Wastewater,Worldwide,Germany
598,11/17/2016,No Updates,2016,ICSA-16-322-01,Vanderbilt Industries Siemens IP CCTV Cameras Vulnerability,Siemens,IP CCTV Cameras ,Versions of Siemens-branded IP cameras built by Vanderbilt Industries: CCMW3025:  All versions prior to 1.41_SP18_S1 | CVMW3025-IR:  All versions prior to 1.41_SP18_S1 | CFMW3025:  All versions prior to 1.41_SP18_S1 | CCPW3025:  All versions prior to 0.1.73_S1 | CCPW5025:  All versions prior to 0.1.73_S1 | CCMD3025-DN18:  All versions prior to v1.394_S1 | CCID1445-DN18:  All versions prior to v2635 | CCID1445-DN28:  All versions prior to v2635 | CCID1445-DN36:  All versions prior to v2635 | CFIS1425:  All versions prior to v2635 |CCIS1425:  All versions prior to v2635 | CFMS2025:  All versions prior to v2635 |CCMS2025:  All versions prior to v2635 | CVMS2025-IR:  All versions prior to v2635 |CFMW1025:  All versions prior to v2635 | CCMW1025:  All versions prior to v2635.,CVE-2016-9155,9.8,Critical,CWE-522,Commercial Facilities; Government Facilities; Healthcare and Public Health,Worldwide,Germany
597,11/17/2016,No Updates,2016,ICSA-16-322-02,Moxa SoftCMS Vulnerabilities,Moxa,SoftCMS ,Moxa versions of SoftCMS: SoftCMS versions prior to Version 1.6.,CVE-2016-9332; CVE-2016-8360; CVE-2016-9333,8.5,High,CWE-415; CWE-20; CWE-89,Commercial Facilities; Critical Manufacturing; Energy; Transportation,Brazil China Germany France United Kingdom India Russia Taiwan United States Asia Europe,Taiwan
596,11/15/2016,No Updates,2016,ICSA-16-320-01,Lynxspring JENEsys BAS Bridge Vulnerabilities,Lynxspring,JENEsys BAS Bridge ,BAS Bridge versions affected:  BAS Bridge versions 1.1.8 and older.,CVE-2016-8357; CVE-2016-8361; CVE-2016-8378; CVE-2016-8369,8.5,High,CWE-352; CWE-522; CWE-306; CWE-264,Commercial Facilities; Critical Manufacturing; Energy; Water and Wastewater,United States,United States
595,11/10/2016,1/3/2017,2016,ICSA-16-315-01B,CA Unified Infrastructure Management Directory Traversal Vulnerability (Update B),CA Technologies,Unified Infrastructure Management   ,Unified Infrastructure Management versions affected: Unified Infrastructure Management Version 8.47 and earlier.,CVE-2016-5803,8.6,High,CWE-23,Information Technology,Brazil China Germany France United Kingdom India Japan Korea Netherlands United States Asia Europe,United States
