icsad_ID,Original_Release_Date,Last_Updated,Year,ICS-CERT_Number,ICS-CERT_Advisory_Title,Vendor,Product,Products_Affected,CVE_Number,Cumulative_CVSS,CVSS_Severity,CWE_Number,Critical_Infrastructure_Sector,Product_Distribution,Company_Headquarters
2389,2/28/2023,No Updates,2023,ICSA-23-059-01,Hitachi Energy Gateway Station,Hitachi Energy,Gateway Station (GWS),Hitachi Energy reports these vulnerabilities affect open-source software (OpenLDAP and OpenSSL) used by the following Gateway Station (GWS) versions: GWS 2.0.0.0 GWS 2.1.0.0 GWS 2.2.0.0 GWS 2.3.0.0 GWS 2.4.0.0 GWS 3.0.0.0 GWS 3.1.0.0 GWS 3.2.0.0 and earlier.,"CVE-2020-25692
CVE-2022-0778",7.5,High,"CWE-476
CWE-835",Energy,Worldwide,Switzerland
2388,2/28/2023,No Updates,2023,ICSA-23-059-02,Hitachi Energy Gateway Station,Hitachi Energy,Gateway Station (GWS),Hitachi Energy reports these vulnerabilities affect the following Gateway Station (GWS) versions: GWS 3.0.0.0 GWS 3.1.0.0 GWS 3.2.0.0.,"CVE-2022-2277
CVE-2022-29922
CVE-2022-1778",7.5,High,"CWE-20
CWE-120",Energy,Worldwide,Switzerland
2387,2/23/2023,No Updates,2023,ICSA-23-054-01,PTC ThingWorx Edge,PTC,ThingWorx Edge,The following components of PTC ThingWorx are affected: ThingWorx Edge C-SDK: v2.2.12.1052 or lower .NET-SDK: v5.8.4.971 or lower ThingWorx Edge MicroServer (EMS): v5.4.10.0 or lower Kepware KEPServerEX: v6.12 or lower ThingWorx Kepware Server (formerly ThingWorx Industrial Connectivity): v6.12 or lower ThingWorx Industrial Connectivity: All versions ThingWorx Kepware Edge: v1.5 or lower Rockwell Automation KEPServer Enterprise: v6.12 or lower GE Digital Industrial Gateway Server: v7.612 or lower.,"CVE-2023-0755
CVE-2023-0754",9.8,Critical,"CWE-129
CWE-190",Multiple Critical Sectors,Worldwide,United States
2386,2/21/2023,No Updates,2023,ICSA-23-052-01,Mitsubishi Electric MELSOFT iQ AppPortal,Mitsubishi Electric,MELSOFT iQ AppPortal,The following Mitsubishi Electric products and versions are affected: MELSOFT iQ AppPortal (SW1DND-IQAPL-M): v1.00A to 1.29F.,"CVE-2022-26377
CVE-2022-31813",9.8,Critical,"CWE-444
CWE-345",Critical Manufacturing,Worldwide,Japan
2385,2/16/2023,No Updates,2023,ICSA-23-047-01,Siemens Solid Edge,Siemens,Solid Edge,Siemens reports these vulnerabilities affect Solid Edge products. See SSA-491245 for more information on which specific vulnerabilities affect each of the following: Solid Edge SE2022: All versions Solid Edge SE2022: All versions prior to V2210 Update12 Solid Edge SE2023: All versions prior to V2023 Update 2.,"CVE-2021-32936
CVE-2021-32938
CVE-2021-32948
CVE-2021-43336
CVE-2021-43391
CVE-2022-46345
CVE-2022-46346
CVE-2022-46347
CVE-2022-46348
CVE-2022-46349
CVE-2023-22295
CVE-2023-22321
CVE-2023-22354
CVE-2023-22669
CVE-2023-22670
CVE-2023-22846
CVE-2023-23579
CVE-2023-24549
CVE-2023-24550
CVE-2023-24551
CVE-2023-24552
CVE-2023-24553
CVE-2023-24554
CVE-2023-24555
CVE-2023-24556
CVE-2023-24557
CVE-2023-24558
CVE-2023-24559
CVE-2023-24560
CVE-2023-24561
CVE-2023-24562
CVE-2023-24563
CVE-2023-24564
CVE-2023-24565
CVE-2023-24566
CVE-2023-24581
CVE-2023-25140",7.8,High,"CWE-787
CWE-125
CWE-122
CWE-121",Critical Manufacturing,Worldwide,Germany
2384,2/16/2023,No Updates,2023,ICSA-23-047-02,Siemens SCALANCE X-200 IRT,Siemens,SCALANCE X200 IRT Products,The following Siemens products are affected: SCALANCE X200-4P IRT (6GK5200-4AH00-2BA3): All versions prior to V5.5.0 SCALANCE X201-3P IRT (6GK5201-3BH00-2BA3): All versions prior to V5.5.0 SCALANCE X201-3P IRT PRO (6GK5201-3JR00-2BA6): All versions prior to V5.5.0 SCALANCE X202-2IRT (6GK5202-2BB00-2BA3): All versions prior to V5.5.0 SCALANCE X202-2P IRT (6GK5202-2BH00-2BA3): All versions prior to V5.5.0 SCALANCE X202-2P IRT PRO (6GK5202-2JR00-2BA6): All versions prior to V5.5.0 SCALANCE X204IRT (6GK5204-0BA00-2BA3): All versions prior to V5.5.0 SCALANCE X204IRT PRO (6GK5204-0JA00-2BA6): All versions prior to V5.5.0 SCALANCE XF201-3P IRT (6GK5201-3BH00-2BD2): All versions prior to V5.5.0 SCALANCE XF202-2P IRT (6GK5202-2BH00-2BD2): All versions prior to V5.5.0 SCALANCE XF204-2BA IRT (6GK5204-2AA00-2BD2): All versions prior to V5.5.0 SCALANCE XF204IRT (6GK5204-0BA00-2BF2): All versions prior to V5.5.0 SIPLUS NET SCALANCE X202-2P IRT (6AG1202-2BH00-2BA3): All versions prior to V5.5.0.,CVE-2007-5846,7.5,High,CWE-20,Multiple Critical Sectors,Worldwide,Germany
2383,2/16/2023,No Updates,2023,ICSA-23-047-03,Siemens Brownfield Connectivity Client,Siemens,Brownfield Connectivity Client,Siemens reports these vulnerabilities affect the following Siemens Brownfield Connectivity Client products: Brownfield Connectivity Client: All versions prior to V2.15.,"CVE-2022-1292
CVE-2022-1343
CVE-2022-1434
CVE-2022-1473",9.8,Critical,"CWE-78
CWE-295
CWE-327
CWE-404",Critical Manufacturing,Worldwide,Germany
2382,2/16/2023,No Updates,2023,ICSA-23-047-04,Siemens Brownfield Connectivity Gateway,Siemens,Brownfield Connectivity—Gateway,Siemens reports these vulnerabilities affect the following Brownfield Connectivity—Gateway products: Brownfield Connectivity—Gateway: all versions prior to V1.10 Brownfield Connectivity—Gateway: V1.10.1.,"CVE-2021-41771
CVE-2021-41772
CVE-2021-44716
CVE-2021-44717
CVE-2022-24675
CVE-2022-24921
CVE-2022-27536
CVE-2022-28327",7.5,High,"CWE-119
CWE-20
CWE-400
CWE-668
CWE-770
CWE-295",Critical Manufacturing,Worldwide,Germany
2381,2/16/2023,No Updates,2023,ICSA-23-047-05,Siemens SiPass integrated AC5102/ACC-G2 and ACC-AP,Siemens,"SiPass integrated AC5100, AC5102, AC5200, ACC-AP, Granta-MK3","The following software from Siemens is affected: SiPass integrated AC5100 (ACC): All versions SiPass integrated AC5102 (ACC-G2): All versions prior to V2.85.44 SiPass integrated AC5200 (ACC-Lite, ACC-4, ACC-8, ACC-16, ACC-32): All versions SiPass integrated ACC-AP: All versions prior to V2.85.43 SiPass integrated Granta-MK3 (ACC-GRANTA): All versions.",CVE-2022-31808,7.8,High,CWE-20,Critical Manufacturing,Worldwide,Germany
2380,2/16/2023,No Updates,2023,ICSA-23-047-06,Siemens Simcenter Femap,Siemens,Simcenter Femap,The following software from Siemens is affected: Simcenter Femap: All versions prior to V2023.1.,"CVE-2022-39157
CVE-2022-43397",7.8,High,"CWE-125
CWE-787",Critical Manufacturing,Worldwide,Germany
